%Station,Niskin,Year,Month,Day,Hour,Minute,Second,Latitude(S),Longitude(W),BottomDepth(m),Depth(m),Pressure(dbar),T090(degC),T190(degC),C0(S/m),C1(S/m),V0(V),V1(V),V2(V),V3(V),V4(V),V5(V),V6(V),V7(V),FlECO-AFL(mg/m^3),SbOx(umol/kg),Par(uEinsteins/m2/sec),Alt(m),CStarAt(1/m),CStarTr(%),Sal00,Sal11,Sigma-t00,Sigma-t11,CHLDepth,CHL(ug/l),Phaeo(ug/l),NUTBottleID,PO4(uM),Sil(uM),NO3(uM),NO2(uM),NH4(uM)
1,1,2017,6,9,21,11,54,64.3807,-167.07,29.5,25.6,25.85,-0.412,-0.388,2.657282,2.659094,0.0015,3.4664,1.3128,3.2902,1.5301,2.922,0.544,0.1075,2.2685,398.207,11.48,10.88,1.1954,74.1674,32.159,32.157,25.831,25.828,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,2,2017,6,9,21,14,43,64.38072,-167.07,29.5,19.95,20.14,-0.401,-0.401,2.657176,2.657326,0.0012,3.8649,1.3127,3.2901,2.031,2.9432,0.8145,0.0941,1.945,402.017,37.42,16.29,0.76,82.6954,32.15,32.151,25.823,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,3,2017,6,9,21,15,16,64.38072,-167.07,29.5,20.02,20.22,-0.399,-0.398,2.657303,2.657557,0.0012,3.872,1.3778,3.2903,1.9795,2.9415,0.816,0.0985,2.0514,401.238,33.18,16.32,0.7527,82.8485,32.149,32.151,25.822,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,4,2017,6,9,21,15,24,64.38072,-167.07,29.5,20.01,20.2,-0.399,-0.398,2.657369,2.657547,0.0012,3.8795,1.3095,3.2902,1.9815,2.9463,0.4979,0.1217,2.6094,402.506,33.34,9.96,0.745,83.0085,32.15,32.151,25.822,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,5,2017,6,9,21,15,31,64.38072,-167.07002,29.5,20.08,20.27,-0.4,-0.399,2.657265,2.657454,0.0013,3.8859,1.3097,3.29,1.9725,2.9444,0.4988,0.0819,1.6549,401.855,32.64,9.97,0.7384,83.1439,32.15,32.151,25.823,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,6,2017,6,9,21,15,38,64.38072,-167.07002,29.5,20.03,20.23,-0.403,-0.4,2.657098,2.657379,0.0012,3.8859,1.3599,3.2902,1.9827,2.9434,0.4956,0.071,1.3912,401.996,33.43,9.91,0.7384,83.1445,32.15,32.151,25.823,25.824,NaN,NaN,NaN,3,0.609,2.9,1.5,0.03,1.55
1,7,2017,6,9,21,15,44,64.38072,-167.07002,29.5,20.2,20.4,-0.405,-0.405,2.656975,2.657099,0.0013,3.8501,1.3769,3.2902,1.9591,2.9408,0.4823,0.093,1.9193,401.542,31.64,9.65,0.7754,82.3781,32.151,32.153,25.824,25.825,NaN,NaN,NaN,4,0.446,1.6,0.2,0.01,0.4
1,8,2017,6,9,21,15,51,64.38072,-167.07002,29.5,20.18,20.38,-0.405,-0.403,2.65698,2.657225,0.0013,3.8827,1.3777,3.2904,1.9504,2.9414,0.4858,0.0984,2.0484,401.677,31,9.71,0.7416,83.0767,32.151,32.153,25.823,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,9,2017,6,9,21,15,58,64.38072,-167.07001,29.5,19.88,20.07,-0.403,-0.403,2.657078,2.657233,0.0013,3.8908,1.3784,3.2901,1.9874,2.9413,0.5068,0.0888,1.8188,401.338,33.81,10.14,0.7333,83.2501,32.15,32.152,25.823,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,10,2017,6,9,21,16,5,64.38072,-167.07001,29.5,20.05,20.25,-0.403,-0.401,2.657084,2.657352,0.0013,3.8844,1.3095,3.2903,1.9686,2.9422,0.4984,0.0882,1.8063,401.732,32.35,9.97,0.74,83.1119,32.15,32.152,25.823,25.824,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,11,2017,6,9,21,16,12,64.38072,-167.07,29.5,20.1,20.3,-0.404,-0.4,2.657057,2.657414,0.0012,3.8733,1.3092,3.29,1.9627,2.9403,0.4941,0.0859,1.7507,401.151,31.91,9.88,0.7513,82.8762,32.151,32.151,25.823,25.824,NaN,NaN,NaN,5,0.359,0.7,0,0.01,0.08
1,12,2017,6,9,21,16,18,64.38072,-167.07,29.5,20.11,20.31,-0.404,-0.402,2.657032,2.657333,0.0011,3.8791,1.3762,3.2902,1.968,2.9428,0.4866,0.0902,1.8535,401.856,32.3,9.73,0.7453,83.0005,32.151,32.152,25.824,25.825,NaN,NaN,NaN,6,0.362,3.4,0.1,0,0
1,13,2017,6,9,21,16,26,64.38072,-167.07001,29.5,19.98,20.18,-0.405,-0.399,2.656967,2.657458,0.0012,3.8879,1.3215,3.29,1.9918,2.9422,0.4952,0.0805,1.6191,401.823,34.15,9.91,0.7363,83.1887,32.151,32.151,25.823,25.824,NaN,NaN,NaN,7,0.365,0.8,0,0.01,0.04
1,14,2017,6,9,21,16,33,64.38072,-167.07,29.5,20.05,20.25,-0.406,-0.405,2.656899,2.657089,0.0012,3.8697,1.3779,3.2901,1.9837,2.9402,0.4879,0.0898,1.8445,401.422,33.51,9.76,0.755,82.7989,32.151,32.153,25.824,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,15,2017,6,9,21,16,39,64.38072,-167.07,29.5,20.05,20.25,-0.406,-0.406,2.656911,2.657063,0.0012,3.8636,1.3764,3.2903,1.9821,2.9411,0.4897,0.0842,1.7094,401.864,33.38,9.79,0.7614,82.6677,32.151,32.153,25.824,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,16,2017,6,9,21,16,46,64.38072,-167.07,29.5,20.02,20.22,-0.405,-0.405,2.656953,2.657099,0.0012,3.862,1.3768,3.2903,1.9858,2.9413,0.4988,0.0867,1.7692,401.532,33.68,9.98,0.7631,82.633,32.151,32.153,25.824,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,17,2017,6,9,21,16,53,64.38072,-167.07,29.5,19.98,20.17,-0.404,-0.404,2.657032,2.657143,0.0012,3.8679,1.3764,3.2903,1.986,2.94,0.5047,0.09,1.8469,401.504,33.7,10.09,0.757,82.7599,32.15,32.153,25.823,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,18,2017,6,9,21,17,0,64.38072,-167.07,29.5,20.02,20.22,-0.405,-0.403,2.65699,2.657213,0.0012,3.8588,1.3762,3.2903,1.9814,2.9406,0.4981,0.0962,1.9964,401.57,33.34,9.96,0.7664,82.5642,32.151,32.152,25.824,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,19,2017,6,9,21,17,7,64.38072,-167.07,29.5,20.1,20.3,-0.406,-0.405,2.656936,2.657169,0.0014,3.8588,1.31,3.2901,1.9717,2.9411,0.4877,0.0872,1.7806,401.555,32.58,9.75,0.7664,82.5648,32.151,32.153,25.824,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,20,2017,6,9,21,17,15,64.38072,-167.07,29.5,20.12,20.32,-0.406,-0.404,2.656905,2.657211,0.0012,3.8801,1.3113,3.2902,1.9643,2.9395,0.4874,0.099,2.0646,401.204,32.03,9.75,0.7443,83.0213,32.151,32.153,25.824,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,21,2017,6,9,21,17,22,64.38072,-167.07,29.5,20.15,20.35,-0.407,-0.405,2.65688,2.657154,0.0014,3.8816,1.3126,3.2899,1.9542,2.9403,0.492,0.0928,1.9157,401.586,31.28,9.84,0.7428,83.0538,32.152,32.153,25.824,25.825,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,22,2017,6,9,21,17,30,64.38072,-167.07,29.5,20.24,20.44,-0.406,-0.407,2.656918,2.657035,0.0012,3.8676,1.3141,3.29,1.942,2.9385,0.4875,0.0899,1.8445,401.288,30.4,9.75,0.7572,82.7536,32.151,32.153,25.824,25.826,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1,23,2017,6,9,21,19,17,64.38072,-167.07,29.5,9.88,9.97,0.136,0.238,2.694533,2.701945,0.0013,4.0778,1.3153,3.2901,2.7462,3.0082,1.0004,0.0429,0.7184,405.181,196.32,20.01,0.5454,87.253,32.083,32.074,25.746,25.733,NaN,NaN,NaN,18,0.834,1.9,0.2,0.03,0.69
1,24,2017,6,9,21,22,14,64.38072,-167.07,29.5,2.82,2.85,6.475,6.509,3.107839,3.110183,0.0016,4.3819,1.1957,3.29,3.1436,2.792,1.3508,0.0147,0.0402,316.88,491.73,27.02,0.2577,93.7599,30.872,30.868,24.235,24.227,NaN,NaN,NaN,19,0.289,3.1,0,0.01,0.07
2,1,2017,6,9,21,59,30,64.38072,-167.07,29.5,19.81,20,-0.387,-0.352,2.658287,2.6607,0.0014,3.952,1.3106,3.2902,1.9959,2.9501,0.5042,0.0546,0.9989,402.573,34.48,10.08,0.6709,84.5588,32.149,32.145,25.822,25.817,NaN,NaN,NaN,8,0.855,0.3,0.2,0.02,0.04
2,2,2017,6,9,21,59,38,64.38072,-167.07,29.5,19.63,19.82,-0.383,-0.369,2.658442,2.659379,0.0017,3.9596,1.3777,3.2903,2.0238,2.9494,0.5168,0.0798,1.6035,402.333,36.8,10.34,0.6632,84.7215,32.147,32.145,25.82,25.817,NaN,NaN,NaN,9,0.889,0.7,0,0,0.03
2,3,2017,6,9,21,59,45,64.38072,-167.07,29.5,19.68,19.87,-0.379,-0.37,2.658732,2.659268,0.0018,3.9678,1.3611,3.2901,2.0324,2.9521,0.5087,0.071,1.393,403.237,37.55,10.17,0.6549,84.8985,32.147,32.145,25.82,25.817,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,4,2017,6,9,21,59,52,64.38072,-167.07,29.5,19.78,19.98,-0.39,-0.386,2.657976,2.658216,0.0016,3.965,1.3773,3.2902,2.0309,2.9507,0.5025,0.0733,1.4462,402.757,37.41,10.05,0.6577,84.8382,32.148,32.147,25.821,25.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,5,2017,6,9,21,59,58,64.38072,-167.06999,29.5,20.01,20.21,-0.391,-0.39,2.657895,2.657956,0.0017,3.9645,1.3557,3.2899,2.0128,2.9529,0.4943,0.0819,1.6544,403.135,35.87,9.89,0.6582,84.827,32.149,32.148,25.821,25.821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,6,2017,6,9,22,0,4,64.38072,-167.06999,29.5,19.71,19.9,-0.375,-0.381,2.658843,2.65854,0.0017,3.9766,1.3102,3.29,2.0495,2.9519,0.5114,0.0759,1.5096,403.146,39.08,10.23,0.646,85.0873,32.144,32.147,25.817,25.819,NaN,NaN,NaN,10,0.886,0.7,0,0.01,0.03
2,7,2017,6,9,22,0,11,64.38072,-167.06998,29.5,20.02,20.22,-0.388,-0.387,2.658102,2.658168,0.0018,3.9703,1.3108,3.2898,2.0077,2.9533,0.4979,0.0845,1.716,403.084,35.44,9.96,0.6524,84.9513,32.148,32.148,25.82,25.82,NaN,NaN,NaN,11,0.87,0.9,0,0,0.01
2,8,2017,6,9,22,0,19,64.3807,-167.06998,29.5,19.65,19.85,-0.379,-0.375,2.65868,2.659007,0.0014,3.9676,1.3109,3.2902,2.0467,2.951,0.518,0.0785,1.5712,402.949,38.82,10.36,0.6551,84.8932,32.146,32.147,25.819,25.819,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,9,2017,6,9,22,0,25,64.3807,-167.06998,29.5,19.82,20.02,-0.389,-0.378,2.657872,2.658723,0.0013,3.9855,1.3107,3.2902,2.037,2.9512,0.5064,0.0758,1.5072,402.663,37.95,10.13,0.6371,85.2766,32.146,32.145,25.819,25.818,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,10,2017,6,9,22,0,32,64.3807,-167.06998,29.5,19.72,19.91,-0.386,-0.382,2.658181,2.658512,0.0014,3.9721,1.3106,3.2901,2.0483,2.9511,0.5087,0.0747,1.4803,402.903,38.96,10.17,0.6505,84.9902,32.147,32.147,25.819,25.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,11,2017,6,9,22,0,38,64.3807,-167.07,29.5,19.89,20.09,-0.396,-0.394,2.657589,2.657785,0.0013,3.9845,1.3785,3.2901,2.0339,2.9502,0.4982,0.0824,1.6646,402.469,37.67,9.96,0.638,85.2564,32.15,32.15,25.822,25.822,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,12,2017,6,9,22,0,45,64.3807,-167.07,29.5,19.84,20.04,-0.392,-0.391,2.657782,2.657931,0.0013,3.9676,1.3106,3.2901,2.0322,2.9481,0.4976,0.0841,1.7064,402.51,37.53,9.95,0.6551,84.8937,32.148,32.148,25.821,25.821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,13,2017,6,9,22,0,51,64.3807,-167.07,29.5,19.91,20.11,-0.392,-0.39,2.657806,2.658002,0.0013,3.9753,1.3773,3.2902,2.0167,2.9497,0.498,0.0781,1.5623,402.698,36.2,9.96,0.6473,85.0585,32.148,32.149,25.821,25.821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,14,2017,6,9,22,1,1,64.38072,-167.07002,29.5,19.73,19.93,-0.388,-0.379,2.658098,2.658719,0.0013,3.9872,1.3186,3.2902,2.0297,2.9495,0.5066,0.0846,1.7177,402.273,37.31,10.13,0.6355,85.3118,32.148,32.147,25.82,25.82,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,15,2017,6,9,22,1,8,64.38072,-167.07002,29.5,19.9,20.1,-0.395,-0.389,2.657681,2.658167,0.0014,3.9457,1.377,3.2901,1.9986,2.9498,0.4953,0.079,1.5844,403.221,34.7,9.91,0.6772,84.4255,32.15,32.15,25.822,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,16,2017,6,9,22,1,15,64.38072,-167.07002,29.5,19.95,20.15,-0.396,-0.382,2.657628,2.658665,0.0012,3.9408,1.3789,3.2901,1.9816,2.9487,0.4928,0.0922,1.9019,402.326,33.35,9.86,0.6822,84.3199,32.15,32.149,25.822,25.821,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,17,2017,6,9,22,1,21,64.38072,-167.07002,29.5,19.85,20.04,-0.395,-0.394,2.657649,2.657868,0.0013,3.9431,1.31,3.2902,1.9948,2.9463,0.5063,0.0904,1.8565,401.859,34.39,10.13,0.6798,84.37,32.15,32.151,25.822,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,18,2017,6,9,22,1,28,64.38072,-167.07002,29.5,19.77,19.96,-0.396,-0.395,2.657458,2.657706,0.0013,3.9276,1.3776,3.2902,2.0059,2.9471,0.5066,0.0831,1.6843,402.675,35.29,10.13,0.6956,84.0383,32.148,32.15,25.821,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,19,2017,6,9,22,1,34,64.38072,-167.07002,29.5,19.89,20.08,-0.4,-0.398,2.657366,2.657544,0.0013,3.9388,1.3772,3.29,1.9887,2.9478,0.5023,0.0882,1.8057,402.824,33.9,10.05,0.6843,84.2767,32.151,32.151,25.823,25.823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
