,Year,Month,Day,Hour,Minute,Second,Bottom.depth..m.,Consecutive.Station.number,prDM..Pressure..Digiquartz..db.,depSM..Depth..salt.water..m.,t090C..Temperature..ITS.90..deg.C..,t190C..Temperature..2..ITS.90..deg.C..,c0S.m..Conductivity..S.m.,c1S.m..Conductivity..2..S.m..,v0..Voltage.0,v1..Voltage.1,v2..Voltage.2,v3..Voltage.3,v4..Voltage.4,v5..Voltage.5,v6..Voltage.6,v7..Voltage70,altM..Altimeter..m.,CStarAt0..Beam.Attenuation..WET.Labs.C.Star..1.m.,CStarTr0..Beam.Transmission..WET.Labs.C.Star,flECO.AFL..Fluorescence..WET.Labs.ECO.AFL.FL..mg.m.3.,sbox0Mm.Kg..Oxygen..SBE.43..umol.kg.,sbox1Mm.Kg..Oxygen..SBE.43..2..umol.kg..,par..PAR.Irradiance..Biospherical.Licor,latitude..Latitude..deg.,longitude..Longitude..deg.,sal00..Salinity..Practical..PSU.,sal11..Salinity..Practical..2..PSU.,sigma.t00..Density..sigma.t..kg.m.3.,sigma.t11..Density..2..sigma.t..kg.m.3..,flag..flag,project,C0mS.cm,C1mS.cm,HLY1702.CTD.Station,Cast,Bottle
1:01,2017,8,7,1,24,37,48,1,0,2.97,6.7333,6.7311,3.296358,3.296242,3.4412,3.7055,0.1652,0.1754,3.8636,0,2.4278,3.5826,48.55,0.798,81.91,0.3303,410.763,406.506,344.53,67.66664,-168.9555,32.7049,32.7057,25.6467,25.6474,1,AMBON,NA,NA,NA,NA,NA
1:02,2017,8,7,1,24,37,48,1,1,2.97,6.7333,6.7311,3.296358,3.296242,3.4412,3.7055,0.1652,0.1754,3.8636,0,2.4278,3.5826,48.55,0.798,81.91,0.3303,410.763,406.506,344.53,67.66664,-168.9555,32.7049,32.7057,25.6467,25.6474,1,AMBON,NA,NA,NA,NA,NA
1:03,2017,8,7,1,24,37,48,1,2,2.97,6.7333,6.7311,3.296358,3.296242,3.4412,3.7055,0.1652,0.1754,3.8636,0,2.4278,3.5826,48.55,0.798,81.91,0.3303,410.763,406.506,344.53,67.66664,-168.9555,32.7049,32.7057,25.6467,25.6474,1,AMBON,NA,NA,NA,NA,NA
1:04,2017,8,7,1,24,37,48,1,3,2.97,6.7333,6.7311,3.296358,3.296242,3.4412,3.7055,0.1652,0.1754,3.8636,0,2.4278,3.5826,48.55,0.798,81.91,0.3303,410.763,406.506,344.53,67.66664,-168.9555,32.7049,32.7057,25.6467,25.6474,0,AMBON,NA,NA,NA,NA,NA
1:05,2017,8,7,1,24,37,48,1,4,3.96,6.7291,6.7294,3.29611,3.296126,3.4391,3.7088,0.149,0.1937,3.8606,0,2.3896,3.4375,47.79,0.801,81.846,0.2917,410.231,407.304,250.02,67.66665,-168.95546,32.7057,32.7055,25.6479,25.6474,0,AMBON,NA,NA,NA,NA,NA
1:06,2017,8,7,1,24,37,48,1,5,4.95,6.7276,6.7267,3.296025,3.296001,3.4378,3.7112,0.1681,0.1979,3.8778,0,2.3454,3.2915,46.91,0.784,82.211,0.3366,410.225,408.111,177.3,67.66666,-168.95544,32.7056,32.7063,25.648,25.6484,0,AMBON,NA,NA,NA,NA,NA
1:07,2017,8,7,1,24,37,48,1,6,5.94,6.7226,6.7224,3.295715,3.295729,3.4388,3.7107,0.1781,0.2926,3.8838,0,2.3071,3.1415,46.14,0.777,82.34,0.3613,410.809,407.533,125.85,67.66666,-168.95544,32.7066,32.7069,25.6495,25.6494,0,AMBON,NA,NA,NA,NA,NA
1:08,2017,8,7,1,24,37,48,1,7,6.93,6.7187,6.7183,3.295563,3.295571,3.4396,3.7092,0.1938,0.3497,3.8653,0,2.2547,2.9895,45.09,0.796,81.946,0.4014,411.255,406.565,88.838,67.66666,-168.95544,32.7082,32.7086,25.6513,25.6514,0,AMBON,NA,NA,NA,NA,NA
1:09,2017,8,7,1,24,37,48,1,8,7.92,6.7115,6.7107,3.295353,3.295338,3.4395,3.7082,0.1967,0.3436,3.8726,0,2.1987,2.8538,43.98,0.789,82.101,0.4112,411.009,406.436,64.786,67.66667,-168.95545,32.7122,32.7128,25.6554,25.6556,0,AMBON,NA,NA,NA,NA,NA
1:10,2017,8,7,1,24,37,48,1,9,8.91,6.6898,6.6922,3.293845,3.294111,3.4399,3.7086,0.2086,0.3421,3.8979,0,2.1539,2.7113,43.08,0.763,82.638,0.4365,411.468,407.343,46.661,67.66668,-168.95545,32.7159,32.7165,25.6611,25.6609,0,AMBON,NA,NA,NA,NA,NA
