	secondary_number	cellid	side	project	station	station_type	date	CTD_number	filter	depth_original	depth_type	depth_m	bottom_depth	lat	lon	temp	salinity	DO	POC (ug/L)	PON (ug/L)	SPM (ug/L)	FlECO-AFL(mg/m^3)	chl depth	chl (ug/l)	phaeo (ug/l)	PO4(uM)	Sil(uM)	NO3(uM)	NO2(uM)	NH4(uM)	N+N (umol/L)	mass	log_name	bottle	niskin_id_meta	volume_filtered_l	transmission_pct	niskin_id_nutrients	poc_pon_ratio	poc_pon_ratio_redfield	cast_depth	delO18	sedchla_mg_m2	notes	notes2
BOX_10_1		BOX_10_1	8-29-17 DBO3.5 T72-1	DBONCIS2017	DBO3.5	E		4						68.013	-167.8751667																		8-29-17 DBO3.5 T72-1					0							
BOX_10_2		BOX_10_2	8-29-17 DBO3.5 T0-1	DBONCIS2017	DBO3.5	E		4						68.013	-167.8751667																		8-29-17 DBO3.5 T0-1					0							
BOX_10_3		BOX_10_3	8-29-17 DBO3.5 T0-2	DBONCIS2017	DBO3.5	E		4						68.013	-167.8751667																		8-29-17 DBO3.5 T0-2					0							
BOX_9_100		BOX_9_100	8-29-17 DBO3.5 T72-1	DBONCIS2017	DBO3.5	E		4						68.013	-167.8751667																		8-29-17 DBO3.5 T72-1					0							
BOX_9_98		BOX_9_98	8-29-17 DBO3.5 T48-1	DBONCIS2017	DBO3.5	E		4						68.013	-167.8751667																		8-29-17 DBO3.5 T48-1					0							
BOX_9_99		BOX_9_99	8-29-17 DBO3.5 T48-2	DBONCIS2017	DBO3.5	E		4						68.013	-167.8751667																		8-29-17 DBO3.5 T48-2					0							
BOX_10_5		BOX_10_5	8-31-17 DBO4.1 43M T0-1	DBONCIS2017	DBO4.1	E		20						70.9745	-161.8871667																		8-31-17 DBO4.1 43M T0-1					0							
BOX_10_6		BOX_10_6	8-31-17 DBO4.1 43M T72-1 PH	DBONCIS2017	DBO4.1	E		20						70.9745	-161.8871667																		8-31-17 DBO4.1 43M T72-1 PH					0							
BOX_10_7		BOX_10_7	8-31-17 DBO4.1 43M T48-2 PH	DBONCIS2017	DBO4.1	E		20						70.9745	-161.8871667																		8-31-17 DBO4.1 43M T48-2 PH					0							
BOX_10_8		BOX_10_8	8-31-17 DBO4.1 43M T48-2 CONTROL	DBONCIS2017	DBO4.1	E		20						70.9745	-161.8871667																		8-31-17 DBO4.1 43M T48-2 CONTROL					0							
BOX_11_4		BOX_11_4	8-31-17 DBO4.1 43M T72-1 CONTROL	DBONCIS2017	DBO4.1	E		20						70.9745	-161.8871667																		8-31-17 DBO4.1 43M T72-1 CONTROL					0							
BOX_11_5		BOX_11_5	8-31-17 DBO4.1 43M T72-2 CONTROL	DBONCIS2017	DBO4.1	E		20						70.9745	-161.8871667																		8-31-17 DBO4.1 43M T72-2 CONTROL					0							
BOX_11_6		BOX_11_6	8-31-17 DBO4.1 43M T72-2 PH	DBONCIS2017	DBO4.1	E		20						70.9745	-161.8871667																		8-31-17 DBO4.1 43M T72-2 PH					0							
BOX_4_95		BOX_4_95	8-31-17 DBO4.1 43M T48-1 CONTROL	DBONCIS2017	DBO4.1	E		20						70.9745	-161.8871667																		8-31-17 DBO4.1 43M T48-1 CONTROL					0							
BOX_4_96		BOX_4_96	8-31-17 DBO4.1 43M T48-1 PH	DBONCIS2017	DBO4.1	E		20						70.9745	-161.8871667																		8-31-17 DBO4.1 43M T48-1 PH					0							
BOX_4_97		BOX_4_97	8-31-17 DBO4.1 43M T0-2	DBONCIS2017	DBO4.1	E		20						70.9745	-161.8871667																		8-31-17 DBO4.1 43M T0-2					0							
BOX_10_90		BOX_10_90	9-6-17 NE1 T0-2	DBONCIS2017	NE-1	E		83						73.4525	-157.311																		9-6-17 NE1 T0-2					0							
BOX_10_93		BOX_10_93	9-6-17 NE1 T0-1	DBONCIS2017	NE-1	E		83						73.4525	-157.311																		9-6-17 NE1 T0-1					0							
BOX_10_94		BOX_10_94	9-4-17 NW4 T0-1	DBONCIS2017	NW-4	E		56						72.854	-163.1776667																		9-4-17 NW4 T0-1					0							
BOX_10_95		BOX_10_95	9-4-17 NW4 T0-2	DBONCIS2017	NW-4	E		56						72.854	-163.1776667																		9-4-17 NW4 T0-2					0							
BOX_4_98		BOX_4_98	9-4-17 NW4 T132-1	DBONCIS2017	NW-4	E		56						72.854	-163.1776667																		9-4-17 NW4 T132-1					0							
BOX_4_99		BOX_4_99	9-4-17 NW4 T132-2	DBONCIS2017	NW-4	E		56						72.854	-163.1776667																		9-4-17 NW4 T132-2					0							
BOX_9_96		BOX_9_96	9-2-17 W2 T0-2	DBONCIS2017	W-2	E		42						72.12216667	-163.2																		9-2-17 W2 T0-2					0							
BOX_9_97		BOX_9_97	9-2-17 W2 T0-1	DBONCIS2017	W-2	E		42						72.12216667	-163.2																		9-2-17 W2 T0-1					0							
BOX_10_100		BOX_10_100	9-9-17 ?8 T72-1 PH 	DBONCIS2017		E																											9-9-17 ?8 T72-1 PH 					0							
BOX_10_88		BOX_10_88	9-9-17 ?7 T48-1	DBONCIS2017		E																											9-9-17 ?7 T48-1					0							
BOX_10_89		BOX_10_89	9-9-17 ?8 T48-1	DBONCIS2017		E																											9-9-17 ?8 T48-1					0							
BOX_10_96		BOX_10_96	9-9-17 ?7 T48-2 	DBONCIS2017		E																											9-9-17 ?7 T48-2 					0							
BOX_10_97		BOX_10_97	9-9-17 ?7 T48-1	DBONCIS2017		E																											9-9-17 ?7 T48-1					0							
BOX_10_98		BOX_10_98	9-9-17 ?7 T48-2	DBONCIS2017		E																											9-9-17 ?7 T48-2					0							
BOX_10_99		BOX_10_99	9-9-17 ?8 T48-1 PH 	DBONCIS2017		E																											9-9-17 ?8 T48-1 PH 					0							
BOX_11_1		BOX_11_1	9-9-17 ?8 T72-1 CONTROL	DBONCIS2017		E																											9-9-17 ?8 T72-1 CONTROL					0							
BOX_11_2		BOX_11_2	9-9-17 ?8 T72-2 PH	DBONCIS2017		E																											9-9-17 ?8 T72-2 PH					0							
BOX_11_3		BOX_11_3	9-9-17 ?8 T72-2 CONTROL	DBONCIS2017		E																											9-9-17 ?8 T72-2 CONTROL					0							
AMBON_1_43		AMBON_1_43	8-21-17 BBL2 5M	AMBON2017	BBL2	P	Aug 21 2017 01:16	84	0.2	surf	surf	4.912	23	69.45034	-163.92098	8.5528	30.307	292.102	166.2212833	33.29413624	5129.032258	1.4160	84_7	2.03		0.69	11.59			0.26	0.3			7	84_7		81.4729	84_7	4.99250925453653	0.753586302571551	84_4.912		13.86	T = 8.5 degrees C	5
BOX_6_98		BOX_6_98	8-21-17 BBL2 3UM 5M	AMBON2017	BBL2	P	Aug 21 2017 01:16	84	3	surf	surf	4.912	23	69.45034	-163.92098	8.5528	30.307	292.102	166.2212833	33.29413624	5129.032258	1.4160	84_7	2.03		0.69	11.59			0.26	0.3			7	84_7		81.4729	84_7	4.99250925453653	0.753586302571551	84_4.912		13.86		5
BOX_6_99		BOX_6_99	8-21-17 BBL2 20UM 5M	AMBON2017	BBL2	P	Aug 21 2017 01:16	84	20	surf	surf	4.912	23	69.45034	-163.92098	8.5528	30.307	292.102	166.2212833	33.29413624	5129.032258	1.4160	84_7	2.03		0.69	11.59			0.26	0.3			7	84_7		81.4729	84_7	4.99250925453653	0.753586302571551	84_4.912		13.86		5
AMBON_1_46		AMBON_1_46	8-21-17 BBL2 10M	AMBON2017	BBL2	P	Aug 21 2017 01:15	84	0.2		mid	9.842	23	69.45036	-163.921	8.08155	30.40835	274.074				2.4520	84_5	3.87		0.71	12.31			0.19	0.2			5	84_5		78.9048	84_5			84_9.842		13.86		10
BOX_5_78		BOX_5_78	8-21-17 BBL2 3UM 10M	AMBON2017	BBL2	P	Aug 21 2017 01:15	84	3		mid	9.842	23	69.45036	-163.921	8.08155	30.40835	274.074				2.4520	84_5	3.87		0.71	12.31			0.19	0.2			5	84_5		78.9048	84_5			84_9.842		13.86		10
