Kingdom	Genus	vals	esvs	order
Stramenopiles	Unidentified	6.2	60	13
Stramenopiles	Paraphysomonas	0.9	10	13
Stramenopiles	Pedospumella	<0.1	1	13
Chloroplastida	Micromonas	38.6	9	11
Chloroplastida	Unidentified	12.5	41	11
Chloroplastida	Pyramimonas	0.8	1	11
Chloroplastida	Prasinoderma	0.6	7	11
Chloroplastida	Mamiella	0.4	9	11
Chloroplastida	Pterosperma	0.3	12	11
Chloroplastida	Dolichomastix	0.3	10	11
Chloroplastida	Cymbomonas	0.2	1	11
Chloroplastida	Nephroselmis	0.1	1	11
Haptophyta	Phaeocystis	21.4	8	9
Haptophyta	Chrysochromulina	10.8	29	9
Haptophyta	Unidentified	5.7	35	9
Haptophyta	Prymnesium	0.4	6	9
Haptophyta	Braarudosphaera	0.4	2	9
Haptophyta	Haptolina	0.3	5	9
Haptophyta	OLI16029	0.1	6	9
Haptophyta	Imantonia	0.1	1	9
