"ASGARD" "AMBON" "DBO.NCIS" "phy.agg.mean" "phy.agg.sd" "Phylum"
"uncultured" 0.295820506611634 0.551901833998157 0.391810397839135 0.413177579482975 0.129370896640479 "Ciliophora"
"Ochrophyta" 44.4986652497608 34.8779193623565 34.3062014725393 37.8942620282189 5.72671998363107 NA
"Dinoflagellata" 23.9939797055104 30.4302726905391 26.3855820268853 26.9366114743116 3.25333550932431 NA
"Ciliophora" 9.03165833653655 9.18382490354886 5.59594737907806 7.93714353972116 2.02896236115571 NA
"Protalveolata" 2.30165892254854 5.94372609690528 8.72018002105023 5.65518834683468 3.21897402876906 NA
"Chlorophyta_ph" 4.93981263262049 7.26526695321417 3.71816232148035 5.30774730243834 1.80194887775912 NA
"Chytridiomycota" 3.93358658763924 7.09467572249161 4.77308270556809 5.26711500523298 1.63742849140186 NA
"Prymnesiophyceae" 4.10563155709549 2.9708981442805 3.69918739046324 3.59190569727974 0.574923473871895 NA
"MAST-3" 1.31209448735219 1.99750373092978 2.22105911944067 1.84355244590755 0.473634800470718 NA
"Cryptomonadales" 1.91914903139034 1.04118746380602 1.7306693515156 1.56366861557065 0.462191586783441 NA
"Cercozoa" 1.33061338282868 1.22293471782785 1.00334195280669 1.18563001782107 0.166794417499823 NA
"MAST-6" 0.378692638275167 0.965589437776851 0.940644342056022 0.761642139369347 0.33187844874493 NA
"Phragmoplastophyta" 0.0955482876655354 0.924550586437322 0.0397573432056585 0.353285405769505 0.495515980926454 NA
"Discosea" 0.383026107410971 0.23152664932339 0.351375104091617 0.321975953608659 0.0799140412383663 NA
"Incertae_Sedis" 0.110061689398614 0.452997728460732 0.401688284924591 0.321582567594646 0.184970203502111 NA
"Cryptomycota" 0.035844781674662 0.313011373370676 0.307150228670396 0.218668794571911 0.158357358601328 NA
"Peronosporomycetes" 0.0573561225092001 0.190677573231567 0.241423422689846 0.163152372810204 0.09507060661753 NA
"Basidiomycota" 0.0887714745561434 0.0697417021588826 0.165288381486184 0.107933852733737 0.0505736051284101 NA
"MAST-4" 0.014927740439976 0.16991966587482 0.119524212898819 0.101457206404538 0.0790597038967913 NA
"Opisthokonta_ph" 0.0207548952533358 0.0875340276540972 0.166886607423192 0.0917251767768749 0.073155954123027 NA
"Cryptophyceae_ph" 0.041222191727219 0.0888881383060371 0.100444673296537 0.0768516677765977 0.0313924043028182 NA
"Ichthyosporea" 0.172384827159884 0.03172328631251 0.00883540766880607 0.0709811737137334 0.0885606540534368 NA
"Ascomycota" 0.0153635121694458 0.0550038742796348 0.0384056650314008 0.0362576838268271 0.0199072837046677 NA
"Pavlovophyceae" 0.0291190121743347 0.0171442714299888 0.0377924354679523 0.0280185730240919 0.0103679744539231 NA
"Mucoromycota" 0.0190200166755955 0.0159422206766651 0.0363692285431159 0.0237771552984588 0.0110131030369222 NA
"Apicomplexa" 0.0272236299006182 0.0114422475628125 0.0277403404525866 0.0221354059720058 0.00926414998916279 NA
"Labyrinthulomycetes" 0.00124003555658188 0.0240488663020528 0.0157552971987387 0.0136813996857911 0.0115449763171928 NA
"Hyphochytriomycetes" 0.00232277433822838 0.0205275919950656 0.0140690791855568 0.0123064818396169 0.00922951290874055 NA
"Euglenozoa" 0.00670892196019862 0.00512265292782523 0 0.00394385829600795 0.00350636222529986 NA
"Bangiales" 0.00410346838920807 0.00410436139921335 0.000457083198935718 0.00288830432911905 0.00210549930830056 NA
"Nucleariidae_and_Fonticula_group" 0 0.00045199016921382 0.00803153954576147 0.0028278432383251 0.00451219627490723 NA
"Neocallimastigomycota" 0.00355629241665426 0.00190362017547345 0.00232086744300467 0.00259359334504413 0.000859427685977608 NA
"LKM15" 0.00181770934502478 0.000416930753025534 0 0.000744880032683438 0.000952197386715962 NA
"Zoopagomycota" 0 0.00033788920612931 0 0.000112629735376437 0.000195080424115026 NA
