"ASGARD" "AMBON" "DBO.NCIS" "phy.agg.mean" "phy.agg.sd" "Phylum"
"uncultured" 0.405227221433244 0.533709583032357 0.0849879465851204 0.34130825035024 0.231088733827947 "Ciliophora"
"Ochrophyta" 41.7276234751373 37.1840470939583 40.3890116115353 39.7668940602103 2.33480069141926 NA
"Dinoflagellata" 17.9447273246832 27.8602768117386 28.1146792747242 24.639894470382 5.79957994038592 NA
"Ciliophora" 9.27293239891393 10.3796175677052 4.54099448697501 8.0645148178647 3.10122309054837 NA
"Protalveolata" 1.10281860140859 6.53382394461092 11.7115809589693 6.44940783499628 5.30488494215202 NA
"Chlorophyta_ph" 5.70286460164288 4.44862891361126 5.49339371120028 5.21496240881814 0.671877803542207 NA
"Chytridiomycota" 6.40284897508943 6.05690319532226 1.14107906464807 4.53361041168659 2.94310572798769 NA
"Prymnesiophyceae" 7.75291053292045 3.59326559865691 0.518972220168595 3.95504945058199 3.63051395050482 NA
"Cryptomonadales" 3.37634600402163 1.00465132784903 0.238733729429889 1.53991035376685 1.63585737918593 NA
"MAST-3" 2.02523058017097 1.71050919637098 0.608034089492206 1.44792462201138 0.74419383719348 NA
"Cercozoa" 1.8703468275411 1.18305642876244 0.11223600492229 1.05521308707528 0.886000200994703 NA
"MAST-6" 0.55790334709019 1.07726323008738 0.567289537833343 0.73415203833697 0.297180067589424 NA
"Cryptomycota" 0 0.48808158457964 1.71048388422608 0.732855156268573 0.881121078851994 NA
"Discosea" 0.700057506376333 0.14428881995365 0.0633210814741794 0.302555802601387 0.346618878664461 NA
"Phragmoplastophyta" 0.00345589678592006 0.0374986598513635 0.854857055194121 0.298603870610468 0.482030010942134 NA
"Incertae_Sedis" 0.0324502907792792 0.60037939534275 0.258338652897947 0.297056113006659 0.285937315229263 NA
"Peronosporomycetes" 0.0773873537379286 0.2848994518078 0.0621024115709904 0.14146307237224 0.124454423679707 NA
"Basidiomycota" 0.183568094384902 0.0820991975326932 0.0878312004884251 0.117832830802007 0.057000505464475 NA
"Ichthyosporea" 0.000206171229704551 0.0201252991856656 0.30580970171605 0.108713724043807 0.17098044106144 NA
"Opisthokonta_ph" 0.0104390014696303 0.241059546025395 0.0141475422388167 0.0885486965779473 0.132091285549221 NA
"MAST-4" 0.0156195067950277 0.162200006434677 0.0429987774657017 0.0736060968984688 0.0779362991217628 NA
"Cryptophyceae_ph" 0.0623641947686314 0.12943741263511 0.0137540851154883 0.0685185641730765 0.0580867047057911 NA
"Apicomplexa" 0.00110961545361709 0.00566291666893749 0.100123745135492 0.0356320924193489 0.0558977914638323 NA
"Pavlovophyceae" 0.0397225981859313 0.0273439287961146 0.00506675269146785 0.0240444265578379 0.0175619458773601 NA
"Ascomycota" 0.00523914108802425 0.0415938489560394 0.0169113456971256 0.0212481119137298 0.0185612998455197 NA
"Mucoromycota" 0.00666011905041412 0.0305358946882379 0.0242002394911341 0.020465417743262 0.0123682996282112 NA
"Hyphochytriomycetes" 0.00607867891570668 0.0207357717005243 0.00785597021802104 0.0115568069447507 0.00799873343624609 NA
"Labyrinthulomycetes" 0.00178232718668003 0.0217712454037691 0.0037497302668478 0.00910110095243232 0.0110166732289412 NA
"Euglenozoa" 0.0112182735767865 0 0 0.0037394245255955 0.00647687326940055 NA
"Nucleariidae_and_Fonticula_group" 0 0.0111277778695249 0 0.00370925928984162 0.00642462554845254 NA
"Neocallimastigomycota" 0.000286994280203996 0.0033391697278604 0.00662927755619328 0.00341848052141922 0.00317188539195611 NA
"Bangiales" 0.00138255911347239 0.00185060768594477 0.00557823757853076 0.00293713479264931 0.00229920319039911 NA
"LKM15" 0.000896519081287996 0 0.000722368739033129 0.000539629273440375 0.000475375535752748 NA
"Florideophycidae" 0 0 0.00030378661609803 0.00010126220536601 0.000175391284580403 NA
"Zoopagomycota" 0 0.000274307282675483 0 9.14357608918278e-05 0.000158371383493365 NA
